epoch,train_loss,valid_loss,accuracy,f_beta,time
0,0.670866,0.657574,0.784198,0.753927,25:32
1,0.596989,0.595443,0.803402,0.779068,25:41
2,0.578974,0.571350,0.807362,0.784503,25:35
3,0.552386,0.562203,0.811136,0.791994,25:44
4,0.557226,0.572818,0.807830,0.786514,25:20
5,0.543570,0.544333,0.816683,0.798891,25:28
6,0.529387,0.516316,0.824446,0.808181,25:35
7,0.511062,0.519298,0.824242,0.810555,25:26
8,0.500958,0.517445,0.827555,0.810526,25:10
9,0.484685,0.513414,0.826290,0.808526,25:12
10,0.494976,0.505385,0.828654,0.811137,25:29
11,0.462539,0.523758,0.824877,0.808824,25:06
12,0.468311,0.523253,0.825172,0.808268,25:04
13,0.441515,0.507501,0.831156,0.815500,25:28
14,0.439047,0.501212,0.831396,0.817236,25:35
15,0.456771,0.488330,0.833908,0.821669,25:32
16,0.443070,0.479596,0.837356,0.823458,25:27
17,0.433290,0.497068,0.837444,0.824769,25:24
18,0.445431,0.480194,0.836135,0.823574,25:20
19,0.428447,0.474193,0.838884,0.827047,25:38
20,0.441764,0.476877,0.837035,0.824321,25:28
21,0.423948,0.481910,0.836272,0.823868,24:57
22,0.421697,0.488465,0.835149,0.820855,25:17
23,0.438266,0.475372,0.838413,0.824282,25:13
24,0.424301,0.476896,0.837468,0.824642,25:13
25,0.414268,0.482105,0.837563,0.824279,25:16
26,0.410952,0.478245,0.838055,0.825171,25:12
27,0.425386,0.480424,0.837899,0.824972,25:17
28,0.414329,0.475645,0.838781,0.825858,25:18
29,0.408872,0.481185,0.837966,0.824952,25:21
