epoch,train_loss,valid_loss,accuracy,f_beta,time
0,0.616415,0.650469,0.786335,0.762540,25:41
1,0.560555,0.565711,0.809933,0.788224,25:50
2,0.571489,0.585877,0.806407,0.785376,25:29
3,0.518742,0.529269,0.825026,0.802983,25:48
4,0.506006,0.534667,0.821305,0.804973,25:56
5,0.509060,0.513466,0.826593,0.812858,25:53
6,0.502368,0.501433,0.831817,0.814364,25:48
7,0.479420,0.492423,0.834444,0.816662,25:39
8,0.484386,0.473444,0.839916,0.826620,25:45
9,0.467665,0.476584,0.839656,0.824899,25:26
10,0.454144,0.498933,0.833888,0.821075,25:16
11,0.461735,0.492701,0.836241,0.826192,25:18
12,0.461387,0.472371,0.841151,0.825922,25:19
13,0.430097,0.475422,0.841582,0.827263,25:47
14,0.434996,0.469036,0.842832,0.828093,25:44
15,0.434838,0.476141,0.843406,0.830620,25:50
16,0.426368,0.492839,0.844044,0.833311,25:48
17,0.413384,0.472292,0.846430,0.833232,25:26
18,0.404040,0.470838,0.846207,0.835339,25:41
19,0.403596,0.463623,0.847625,0.835939,25:39
20,0.401658,0.468579,0.847082,0.834393,25:15
21,0.394163,0.472292,0.847744,0.835960,25:06
22,0.395497,0.483786,0.846509,0.834660,25:17
23,0.397504,0.457566,0.847505,0.836573,25:42
24,0.383034,0.469178,0.847911,0.836216,25:22
25,0.399675,0.464438,0.848347,0.836801,25:39
26,0.384618,0.458843,0.849191,0.837923,25:37
27,0.384161,0.464404,0.848658,0.837869,25:16
28,0.391731,0.458338,0.849702,0.838583,25:36
29,0.391498,0.461467,0.849028,0.838083,24:37
