epoch,train_loss,valid_loss,accuracy,f_beta,time
0,0.619901,0.646415,0.804391,0.784720,25:58
1,0.571285,0.598066,0.807059,0.791487,25:58
2,0.539405,0.806189,0.807646,0.790837,25:46
3,0.522504,0.577205,0.815021,0.791854,25:57
4,0.523860,0.523432,0.832543,0.816238,25:57
5,0.516609,0.510154,0.834113,0.817321,25:57
6,0.492619,0.498752,0.838671,0.825256,25:49
7,0.484529,0.502700,0.836250,0.821014,25:41
8,0.479873,0.492329,0.838517,0.823872,25:33
9,0.445356,0.488555,0.842793,0.828964,25:58
10,0.450137,0.466025,0.846677,0.833810,25:57
11,0.451140,0.475646,0.844772,0.832730,25:36
12,0.452129,0.483085,0.843127,0.828996,25:34
13,0.841423,0.789812,0.751989,0.726840,25:31
14,1.100958,1.198229,0.706118,0.703788,24:33
15,1.392546,1.133886,0.750968,0.722440,24:44
16,1.515487,1.627128,0.684482,0.670530,24:47
17,1.761486,1.799838,0.737827,0.703573,24:33
18,1.539067,1.135319,0.727146,0.693546,24:44
19,1.320468,nan,0.633971,0.635103,24:32
20,1.526512,nan,0.684602,0.686626,24:48
epoch,train_loss,valid_loss,accuracy,f_beta,time
0,0.587628,0.594151,0.809504,0.792494,25:48
1,0.544985,0.544936,0.822723,0.803193,25:48
2,0.531529,0.536789,0.824737,0.807562,25:48
3,0.532850,0.538649,0.827630,0.810763,25:50
4,0.501471,0.521945,0.831657,0.814492,25:43
5,0.502954,0.523461,0.830695,0.817425,25:46
6,0.490858,0.498719,0.834783,0.823163,25:49
7,0.482365,0.519553,0.831426,0.818815,25:30
8,0.474906,0.516020,0.832175,0.820964,22:48
9,0.471430,0.487179,0.841217,0.826968,21:31
10,0.456172,0.481587,0.841110,0.828542,21:25
11,0.457330,0.485759,0.840972,0.827806,21:09
12,0.441276,0.480148,0.844766,0.830927,21:26
13,0.457716,0.477912,0.843150,0.829129,21:12
14,0.447477,0.471515,0.844811,0.831716,21:26
15,0.447866,0.466164,0.845795,0.833008,21:26
16,0.446356,0.472284,0.844030,0.835413,21:24
17,0.436221,0.465896,0.846722,0.834401,21:10
18,0.439308,0.461962,0.848269,0.835729,21:25
19,0.403867,0.461498,0.848642,0.837832,21:23
20,0.410738,0.471076,0.846374,0.835629,21:11
21,0.403005,0.453799,0.850421,0.837420,21:14
22,0.402519,0.454740,0.849599,0.836558,21:12
23,0.427540,0.454360,0.850229,0.838356,21:24
24,0.407833,0.451461,0.850800,0.841336,21:28
25,0.409538,0.446998,0.852295,0.840764,21:11
26,0.399367,0.454723,0.850788,0.839675,21:12
27,0.393228,0.453266,0.851183,0.840024,21:11
28,0.405918,0.446188,0.852733,0.841588,21:26
29,0.388906,0.449439,0.852084,0.841007,21:12
