epoch,train_loss,valid_loss,accuracy_thresh,fbeta,time
0,0.134602,0.135782,0.913597,0.689467,35:53
1,0.127357,0.122368,0.929516,0.724376,12:41
2,0.121943,0.116986,0.933694,0.732607,12:14
3,0.117807,0.117664,0.933930,0.733271,12:16
4,0.113123,0.107794,0.935777,0.762322,12:12
5,0.110722,0.104670,0.938566,0.768965,12:30
6,0.106517,0.101041,0.940812,0.777446,12:53
7,0.104018,0.095447,0.946575,0.784691,12:14
8,0.102168,0.095777,0.945662,0.791011,12:26
9,0.101636,0.092973,0.945294,0.797013,12:23
10,0.100039,0.094909,0.946248,0.792815,13:04
11,0.098955,0.091375,0.949517,0.800283,12:16
12,0.097502,0.089641,0.950600,0.804829,12:26
13,0.096224,0.090289,0.950915,0.805433,12:22
14,0.095260,0.088838,0.949598,0.809503,12:57
15,0.094750,0.088887,0.951439,0.808897,12:41
16,0.093722,0.088538,0.951482,0.809569,12:16
17,0.093348,0.088194,0.951980,0.810896,12:22
18,0.093067,0.088661,0.952151,0.809982,12:23
19,0.093531,0.088675,0.951957,0.810087,12:52
