epoch,train_loss,valid_loss,accuracy_thresh,fbeta,time
0,0.128253,0.124274,0.922447,0.719328,32:36
1,0.121619,0.113351,0.932571,0.744173,13:13
2,0.117224,0.114175,0.929072,0.740776,12:46
3,0.114160,0.108959,0.935661,0.755917,12:51
4,0.109599,0.107234,0.937873,0.760216,12:43
5,0.107288,0.102727,0.939669,0.773372,13:15
6,0.103910,0.097772,0.944907,0.785773,13:14
7,0.101732,0.099309,0.944817,0.783102,12:55
8,0.099918,0.093397,0.948468,0.793289,12:53
9,0.098669,0.090558,0.948101,0.805273,13:01
10,0.097518,0.089815,0.948922,0.806584,13:19
11,0.095922,0.088279,0.949972,0.810429,12:51
12,0.094764,0.088727,0.950801,0.810219,12:45
13,0.093994,0.088864,0.949994,0.809131,12:55
14,0.092410,0.086647,0.952101,0.815123,13:42
15,0.092751,0.087114,0.952145,0.814483,12:50
16,0.091060,0.087085,0.952606,0.814240,12:59
17,0.089623,0.086743,0.952930,0.815388,13:00
18,0.089815,0.086788,0.953089,0.815985,13:35
19,0.090181,0.086789,0.953051,0.815972,10:26
