epoch,train_loss,valid_loss,accuracy_thresh,fbeta,time
0,0.126208,0.121477,0.923861,0.726965,34:21
1,0.119403,0.116596,0.925055,0.738482,15:00
2,0.114791,0.111328,0.936331,0.745504,13:48
3,0.111015,0.107194,0.931301,0.761859,13:42
4,0.107717,0.102244,0.939250,0.766238,13:59
5,0.104551,0.097345,0.940913,0.783673,14:50
6,0.101902,0.091133,0.948394,0.800501,13:46
7,0.098932,0.092507,0.947689,0.797218,13:40
8,0.098233,0.092197,0.946053,0.801061,14:24
9,0.096828,0.088160,0.950049,0.806591,14:33
10,0.094565,0.089340,0.950188,0.805595,13:47
11,0.094527,0.089786,0.949935,0.791681,13:57
12,0.093729,0.085109,0.951822,0.818691,14:18
13,0.092168,0.085668,0.952892,0.816342,14:33
14,0.090792,0.084486,0.953515,0.820273,13:47
15,0.089247,0.085137,0.953734,0.818898,13:53
16,0.088560,0.084819,0.954542,0.820582,14:42
17,0.088040,0.085334,0.954681,0.819509,12:25
18,0.087720,0.084954,0.954666,0.820296,08:18
19,0.088014,0.084922,0.954852,0.820680,07:39
